Chemistry,Molecule,Angle (kcal/mol),Bond (kcal/mol),Potential (kcal/mol),vdW (kcal/mol),Dihedral (kcal/mol),Coulomb (kcal/mol)
polycarbonate_phosgene,"poly(1,1,1',1'-tetramethyl-3,3'-spirobi[2H-indene]-5,5'-diol-co-Carbonyl dichloride)",187.14097466893327,173.09788032876514,294.0469772985052,38.80888582228958,33.85242837736793,-138.85962020313082
polyurethane_isocyanate,"poly(1,10-diisocyanatodecane-co-Decane-1,10-diol)",208.70933030443263,153.53842474662588,4521652.129294347,4521225.203397298,24.539684828459073,40.128976526144555
polyurethane_isocyanate,"poly(1,10-diisocyanatodecane-co-octadec-9-ene-1,12-diol)",278.78898693171067,157.91734122586132,19997151.527452625,19996655.52609915,40.096642221028745,19.182444786684442
polyurethane_isocyanate,"poly(1,12-diisocyanatooctadec-9-ene-co-Decane-1,10-diol)",276.47497827527235,157.50513750974085,4523258.549297476,4522776.565432351,45.044872330045195,2.942938696429337
polyurethane_isocyanate,"poly(1,18-diisocyanatooctadecane-co-Decane-1,10-diol)",289.7186129306836,158.06091373196762,4499343.353201949,4498814.616611471,42.7695609874452,38.171262694405044
polyurethane_isocyanate,"poly(1,18-diisocyanatooctadecane-co-icosane-1,20-diol)",386.76420830085885,164.43014447874475,1120.2821197891235,454.5809694572341,78.45068163166134,36.028883652365295
polyurethane_isocyanate,"poly(1,3-Bis(isocyanatomethyl)cyclohexane-co-Butane-1,4-diol)",132.13624581057817,149.64874946575384,22643725.212238196,22643381.862853453,31.43860894102982,30.121387547748128
polyurethane_isocyanate,"poly(1,3-Bis(isocyanatomethyl)cyclohexane-co-[4-(hydroxymethyl)cyclohexyl]methanol)",171.80892653070967,153.72322858490153,521.4100599452564,122.4322119132079,47.388087712243276,26.05115836568035
polyurethane_isocyanate,"poly(1,4-Diisocyanatocyclohexane-co-HEXANE-1,6-DIOL)",130.0938513152643,149.6103931810589,162074.7399149769,161798.24276326888,21.50573970997476,-24.717231291806797
polyurethane_isocyanate,"poly(1,4-Diisocyanatocyclohexane-co-[4-(hydroxymethyl)cyclohexyl]methanol)",151.63534427089107,152.1358210355192,1365.9817984033575,1035.6695836858278,37.15285403135661,-10.617107210511477
polyurethane_isocyanate,"poly(1,4-diisocyanatobutane-co-2-(2-hydroxyethyl-phenylamino)ethanol)",123.17777766837824,174.28127554516504,311.65364908234545,67.3942679534084,19.131214668966987,-72.33629025387049
polyurethane_isocyanate,"poly(1,4-diisocyanatobutane-co-2-(dimethylaminomethyl)-2-methylpropane-1,3-diol)",117.99070421526528,150.36471742782035,367.8948640347253,36.41756993940415,18.660496225855322,44.45691785763191
polyurethane_isocyanate,"poly(1,4-diisocyanatobutane-co-Decane-1,10-diol)",150.21292867409718,149.80057329296082,4513362.526153859,4513033.468154261,21.529092001022615,7.509807980261883
polyurethane_isocyanate,"poly(1,4-diisocyanatobutane-co-Propane-1,3-diol)",80.929643894275,145.6615917524917,446.728946140487,216.4503925764794,12.902866903326082,-9.217901990883973
polyurethane_isocyanate,"poly(1,4-diisocyanatobutane-co-[6-(hydroxymethyl)pyridin-2-yl]methanol)",99.96956550249492,171.9058256014196,7529535.225884431,7529255.69364408,6.724102344510457,0.9288463756709859
polyamide,"poly(1,5-bis(3-aminophenyl)penta-1,4-dien-3-one-co-Benzene-1,3-dicarboxylic acid)",138.9621005845757,232.39560274976373,395.8052030288316,240.85412377449,27.33391827524743,-243.7486459573301
polyamide,"poly(1,5-bis(3-aminophenyl)penta-1,4-dien-3-one-co-hexanedioic acid)",145.2409994146488,208.16945351996904,2621484469945.734,2621484469856.668,35.19829699693917,-299.5500540246009
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-2,3,3a,5,6,6a-hexahydrofuro[5,4-d]furan-3,6-diol)",138.35138953803045,148.3298496551281,468.7766687499548,83.54651749317618,47.992394778912626,50.551610360947876
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-2-(2-Hydroxyethoxy)ethanol)",110.92283056264692,147.96612737327797,339.9656392692126,31.662436354802562,25.926337432937768,23.48404687908362
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol)",149.26111083253582,150.7389944027749,28577656.22224068,28577257.714450695,30.926330889360283,67.57465128007507
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-Butane-1,4-diol)",111.44197516367572,147.4886709079735,22351923.121178884,22351637.192144737,15.43475828083514,11.560055745682632
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-Cyclohexane-1,4-diol)",132.82862942844963,149.07224110074966,49778722205.6169,49778721854.24596,31.021337469908225,38.444332606101796
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-Decane-1,10-diol)",170.08142358405476,151.29099199613177,4528654.050906541,4528305.092808625,21.55730983397645,6.021593532611746
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-Ethane-1,2-diol)",91.42592557237288,146.55848506938958,35367418.385034055,35367185.089879945,18.48145398058358,-23.17344227933998
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-HEXANE-1,6-DIOL)",129.59303704247606,148.95592813267024,162649.45045286496,162334.2285017263,21.898617345091893,14.769839274864154
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-Propane-1,3-diol)",100.83438480130324,147.1184010906735,341.56813632925906,83.40805611103089,12.732935143516066,-2.5287795985459525
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-[4-(hydroxymethyl)cyclohexyl]methanol)",151.13056120089223,151.58872857474665,386.00715477645656,36.4752605001642,33.85249141356067,12.954667150610476
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-[6-(hydroxymethyl)pyridin-2-yl]methanol)",119.85995474354482,173.3171697784223,10644.265023675918,10339.444516225522,7.019372977615267,4.619113786827683
polyurethane_isocyanate,"poly(1,8-Diisocyanatooctane-co-Decane-1,10-diol)",188.40656883432263,151.99286403731602,4517697.460483525,4517313.646304957,23.47865057645606,19.928021820822067
polyurethane_isocyanate,"poly(1,8-Diisocyanatooctane-co-icosane-1,20-diol)",285.5275643450858,158.32506873968632,979.1000032394304,465.6477915144575,54.78872118016665,14.794617326680935
polyurethane_isocyanate,poly(1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene-co-2-(2-hydroxyethyl-phenylamino)ethanol),157.8192519617525,223.74203190613392,372.4158008927977,187.9883636446571,22.560429005058104,-219.7039179174103
polyurethane_isocyanate,"poly(1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene-co-2-(dimethylaminomethyl)-2-methylpropane-1,3-diol)",152.69821649955523,199.97343964691825,419.6144735666781,129.06516367467583,19.278149029030843,-81.40886650892563
polyurethane_isocyanate,poly(1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene-co-4-[[4-[(4-hydroxyphenyl)iminomethyl]phenyl]methylideneamino]phenol),212.1745159404045,262.19599424605696,32040215136245.227,32040215136092.1,13.731718803635419,-334.98885462123076
polyurethane_isocyanate,"poly(1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene-co-Butane-1,4-diol)",126.20848490369713,195.84735219417627,22564816.51412556,22564603.705951933,17.689619105359306,-126.94320804088491
polyurethane_isocyanate,"poly(1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene-co-Ethane-1,2-diol)",106.18520570015797,194.49115994304572,80451048.82129931,80450834.88971019,17.54867232553324,-104.29827273469554
polyurethane_isocyanate,poly(1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene-co-[6-(hydroxymethyl)pyridin-2-yl]methanol),134.6297405938435,221.3139488092521,13938.82097708332,13737.249794279327,14.326964303073384,-168.70706302677968
polyurethane_isocyanate,"poly(2,4-Diisocyanato-1-methylbenzene-co-6-[4-[4-(6-hydroxyhexoxy)phenyl]phenoxy]hexan-1-ol)",249.8303361347009,227.43908769561756,445.0353329891891,134.7348241772524,51.1675606346289,-218.1533346925945
polycarbonate_phosgene,"poly(2,6-dibromo-4-[2-(3,5-dibromo-4-hydroxyphenyl)-1,1,1,3,3,3-hexafluoropropan-2-yl]phenol-co-Carbonyl dichloride)",113.4865713999847,182.56441152177496,55039.33479478473,54767.28058771001,4.144432301911495,-28.148482620487187
polycarbonate_phosgene,"poly(2,6-dibromo-4-[2-(3,5-dibromo-4-hydroxyphenyl)propan-2-yl]phenol-co-Carbonyl dichloride)",109.05257454647192,178.63310100803236,45548.97914577438,45301.839916060024,3.7064673542835593,-44.259113302226325
polycarbonate_phosgene,"poly(2,6-dichloro-4-[2-(3,5-dichloro-4-hydroxyphenyl)propan-2-yl]phenol-co-Carbonyl dichloride)",108.62472279175198,178.4559369838412,65534.35479878767,65260.23800196365,3.667699330194615,-16.636988407015252
polyester,"poly(2-(2-Hydroxyethoxy)ethanol-co-Benzene-1,3-dicarboxylic acid)",88.32850008818492,161.72626798325643,35673857977963.76,35673857977418.875,25.648920284190872,269.1783598176442
polyester,poly(2-(2-Hydroxyethoxy)ethanol-co-Decanedioic acid),133.7602783120627,139.894431244022,330890745.8062127,330890409.5233652,36.68980395022537,25.934165732493113
polyester,poly(2-(2-Hydroxyethoxy)ethanol-co-hexanedioic acid),94.3309469191378,137.61887097452092,330247501.80560714,330247220.3301952,36.49009940621167,13.033041549552308
polyester,"poly(2-Ethyl-2-methylpropane-1,3-diol-co-Decanedioic acid)",152.74152280992465,142.85685415384577,199161.93289408015,198819.47000460897,33.51878170441101,13.340868668952538
polycarbonate_phosgene,poly(2-ethyl-4-[2-(3-ethyl-4-hydroxyphenyl)propan-2-yl]phenol-co-Carbonyl dichloride),143.3422472123715,182.14382220396027,400698.9419093396,400467.8171377082,3.1815553914201495,-97.5484353878671
polycarbonate_phosgene,"poly(3,3,3',3'-tetramethyl-1,1'-spirobi[2H-indene]-5,5'-diol-co-Carbonyl dichloride)",187.65993237547104,172.29044952072655,5220.495073883331,4942.833647556652,34.13199779266099,-116.42738166645967
polyamide,"poly(3,3-bis[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]-2-phenylisoindol-1-one-co-Benzene-1,3-dicarboxylic acid)",375.4158241076078,392.45313799584886,644.3225113564398,198.61305475358952,76.86421478496005,-399.06787713556344
polycarbonate_phosgene,"poly(4,4-bis(4-hydroxy-3-methylphenyl)pentanenitrile-co-Carbonyl dichloride)",141.76659446454292,183.89965392484956,141147001.1879061,141146756.11071435,10.699328241726002,-91.2943440415714
polyamide,poly(4-(4-amino-2-methylphenyl)-3-methylaniline-co-5-(3-carboxy-4-methoxycarbonylbenzoyl)-2-methoxycarbonylbenzoic acid),211.85866234076028,269.37370121414483,3177417718.7148366,3177417492.321796,51.39316537112529,-306.2484208804907
polyamide,"poly(4-(4-aminophenoxy)aniline-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2H-indene-5-carboxylic acid)",219.02553116840105,258.1647383423323,467.9262642297904,158.52901072485093,39.57658093494947,-207.38258239236097
polycarbonate_phosgene,poly(4-[(4-hydroxyphenyl)methyl]phenol-co-Carbonyl dichloride),86.84378577747759,172.35492144829914,11454.977165702145,11239.025810307981,9.602930016078602,-52.85299226434279
polycarbonate_phosgene,"poly(4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxy-3,5-dimethylphenyl)propan-2-yl]-2,6-dimethylphenol-co-Carbonyl dichloride)",147.0792926666506,186.4228102654797,882.7710243523367,688.512107835599,9.245509904074488,-148.49531354033522
polycarbonate_phosgene,"poly(4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol-co-Carbonyl dichloride)",110.87699577541962,181.38272017366705,414.236151174737,204.88501146247077,3.9973607224117425,-86.91031154592383
polycarbonate_phosgene,poly(4-[1-(4-hydroxy-3-methylphenyl)cyclohexyl]-2-methylphenol-co-Carbonyl dichloride),160.5597707895381,183.4989023918214,12711569656.828188,12711569337.958652,20.673398145871637,-45.86853440074573
polycarbonate_phosgene,poly(4-[1-(4-hydroxyphenyl)-1-phenylethyl]phenol-co-Carbonyl dichloride),129.55306754219342,202.224477209089,324.2063289740986,65.81045122638255,10.292746630839071,-83.67984702255855
polycarbonate_phosgene,poly(4-[1-(4-hydroxyphenyl)cycloheptyl]phenol-co-Carbonyl dichloride),155.2489750687174,181.91743406922217,18125126.139277708,18124883.714614775,19.60792647621086,-114.35509051375433
polycarbonate_phosgene,poly(4-[1-(4-hydroxyphenyl)cyclohexyl]phenol-co-Carbonyl dichloride),140.25823167433353,181.7466840537917,62581298.1818929,62581053.645664036,14.687280002422886,-92.16084504505176
polycarbonate_phosgene,"poly(4-[2,2-dichloro-1-(4-hydroxyphenyl)ethenyl]phenol-co-Carbonyl dichloride)",89.12199885631628,173.33860572721443,929113.2347473028,928915.5921914662,29.66565446682294,-94.48750087194662
polyamide,"poly(4-[2-(4-aminophenyl)-1,1,1,3,3,3-hexafluoropropan-2-yl]aniline-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2H-indene-5-carboxylic acid)",243.53666211053144,264.5088397368182,439.1595019448741,201.02218312544306,26.096136338712743,-296.0210498904686
polycarbonate_phosgene,"poly(4-[2-(4-hydroxy-3,5-dimethylphenyl)propan-2-yl]-2,6-dimethylphenol-co-Carbonyl dichloride)",144.47813882303555,181.0593714999572,250522.9289986648,250301.0024548689,7.425337952507579,-111.04189835484398
polycarbonate_phosgene,poly(4-[2-(4-hydroxy-3-methylphenyl)propan-2-yl]-2-methylphenol-co-Carbonyl dichloride),123.70344838736762,179.2058854464149,13858023.163092569,13857825.134467697,3.2276069142866937,-108.11283051411225
polycarbonate_phosgene,poly(4-[2-(4-hydroxy-3-propan-2-ylphenyl)propan-2-yl]-2-propan-2-ylphenol-co-Carbonyl dichloride),164.94053118693836,183.9264986310151,165782.4798930319,165540.32199763597,10.499564333156744,-117.21546155189567
polycarbonate_phosgene,poly(4-[2-(4-hydroxyphenyl)butan-2-yl]phenol-co-Carbonyl dichloride),117.65259501347984,178.56688210855864,6467.727504171081,6275.429609824911,6.876051979984593,-110.80164810552328
polycarbonate_phosgene,poly(4-[2-(4-hydroxyphenyl)pentan-2-yl]phenol-co-Carbonyl dichloride),126.76869327362476,179.8517255504886,273.95493004200546,51.69547492530681,12.599872225421178,-96.96534009953328
polycarbonate_phosgene,poly(4-[2-(4-hydroxyphenyl)propan-2-yl]phenol-co-Carbonyl dichloride),106.53104114262727,177.36303643240376,2694.720854337951,2524.5008349189916,3.621896512610939,-117.29950545433502
polycarbonate_phosgene,poly(4-[4-(4-hydroxy-3-methylphenyl)heptan-4-yl]-2-methylphenol-co-Carbonyl dichloride),168.6175285792475,186.5667742005952,2209.370080405401,1893.9862676567259,14.923409212850883,-54.7306620407678
polycarbonate_phosgene,poly(4-[4-(4-hydroxyphenyl)heptan-4-yl]phenol-co-Carbonyl dichloride),149.6509629525109,182.7322250729277,31369194.387188826,31368967.803692758,11.611904944302427,-117.41716745589943
polyamide,"poly(4-[4-[2-[4-(4-aminophenoxy)phenyl]propan-2-yl]phenoxy]aniline-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2H-indene-5-carboxylic acid)",316.5727663787529,316.17168656886474,10104192.688938385,10103902.705951544,36.600057075587,-379.3882705416523
polyamide,"poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-4-[2-(4-carboxyphenyl)-1,1,1,3,3,3-hexafluoropropan-2-yl]benzoic acid)",399.121780189828,376.8409520195664,556.3980104909153,143.84632765795183,90.44976574414234,-453.9092438305422
polyamide,"poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-5-tert-butylbenzene-1,3-dicarboxylic acid)",370.8855040563178,349.30806260453016,27537822.85567337,27537485.33210089,72.07132209529361,-454.78107360277096
polyamide,"poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-Benzene-1,3-dicarboxylic acid)",335.2662506812921,344.18230982537153,517.3869328613811,119.11656606089427,84.3849411462905,-365.5971000990837
polyamide,poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-Terephthalic acid),335.15885122977755,344.3487418805072,613.1637882745885,174.07801778887216,85.33722580758565,-325.7930136787703
polyamide,"poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-naphthalene-2,6-dicarboxylic acid)",355.68389581300147,365.6193364855404,6062.463760308861,5623.593837965558,85.5834896496098,-368.05518680314447
polyamide,"poly(4-[4-[4-[2-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]-1,1,1,3,3,3-hexafluoropropan-2-yl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-Benzene-1,3-dicarboxylic acid)",300.7570795668496,342.6660237010227,611819286.9882375,611819040.4311163,48.79170833228156,-445.6903024860111
polyamide,"poly(4-[4-[4-[2-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]propan-2-yl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-Benzene-1,3-dicarboxylic acid)",297.5237068644808,338.59563759246885,88779664551.60953,88779664366.31973,47.35533636714682,-498.2151797478424
polyamide,"poly(4-[4-[4-[9-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]fluoren-9-yl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-Benzene-1,3-dicarboxylic acid)",377.97895562894286,382.2455441624432,2942923555589.479,2942923555159.7715,62.35436253171493,-392.9120256135857
polyamide,"poly(4-[4-[6'-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]spiro[fluorene-9,9'-xanthene]-3'-yl]oxy-3-(trifluoromethyl)phenyl]aniline-co-4-[2-(4-carboxyphenyl)-1,1,1,3,3,3-hexafluoropropan-2-yl]benzoic acid)",439.700070570044,412.7039658267759,191569837133558.7,191569837133402.62,66.388687751827,-762.8046718417485
polyamide,"poly(4-[4-[6'-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]spiro[fluorene-9,9'-xanthene]-3'-yl]oxy-3-(trifluoromethyl)phenyl]aniline-co-5-tert-butylbenzene-1,3-dicarboxylic acid)",411.47815343375936,384.7095546279565,191569837149370.3,191569837149263.7,54.095790916878606,-743.747477835285
polyamide,"poly(4-[4-[6'-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]spiro[fluorene-9,9'-xanthene]-3'-yl]oxy-3-(trifluoromethyl)phenyl]aniline-co-Benzene-1,3-dicarboxylic acid)",375.768894666671,379.7006073887988,191569837133507.9,191569837133364.06,59.09021433009941,-670.7228875708504
polyamide,"poly(4-[4-[6'-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]spiro[fluorene-9,9'-xanthene]-3'-yl]oxy-3-(trifluoromethyl)phenyl]aniline-co-Terephthalic acid)",375.6984904749355,379.7700012978368,191569837133602.7,191569837133417.94,60.5060181046638,-631.2019474859004
polyamide,"poly(4-[4-[6'-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]spiro[fluorene-9,9'-xanthene]-3'-yl]oxy-3-(trifluoromethyl)phenyl]aniline-co-naphthalene-2,6-dicarboxylic acid)",396.1890651676685,401.289341565716,191569837139062.0,191569837138878.8,62.90854478456694,-677.2338467321789
polyamide,"poly(4-[4-amino-2-(trifluoromethyl)phenyl]-3-(trifluoromethyl)aniline-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2H-indene-5-carboxylic acid)",229.9663570005648,260.6821158576469,5078.118420390048,4655.566850655147,50.68682940534157,-118.79952319077069
polycarbonate_phosgene,poly(4-[5-(4-hydroxyphenyl)nonan-5-yl]phenol-co-Carbonyl dichloride),168.02453747773762,184.96911885464985,353.04337357387374,61.86936682446266,17.667630714090503,-79.49403026197255
polycarbonate_phosgene,poly(4-[9-(4-hydroxyphenyl)fluoren-9-yl]phenol-co-Carbonyl dichloride),183.90508987207983,218.2048742477063,541.8080312987239,115.27592120676303,9.279793331031147,15.134806289050658
polyurethane_isocyanate,"poly(5-Isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane-co-2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol)",190.5895129278268,156.7993789546584,28807022.19570097,28806654.78473405,48.61768009695874,-28.60480303910535
polyurethane_isocyanate,"poly(5-Isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane-co-4-[[4-[(4-hydroxyphenyl)iminomethyl]phenyl]methylideneamino]phenol)",238.7542387875335,220.03950256439103,33780384771445.85,33780384771228.047,32.82762871585928,-273.82703409480723
polyurethane_isocyanate,"poly(5-Isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane-co-Butane-1,4-diol)",152.7796536319082,153.67108425467586,22778054.27976882,22777796.868773665,31.96704714835148,-81.01223905704055
polyurethane_isocyanate,"poly(5-Isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane-co-Ethane-1,2-diol)",132.7730096386499,152.12084784083874,36057183.84702041,36056995.29688933,34.76207669673659,-131.11019897448014
polyurethane_isocyanate,"poly(5-Isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane-co-HEXANE-1,6-DIOL)",170.95053274191548,154.6330357228757,162807.69658682772,162518.94641375117,39.41731366451367,-76.25732453432227
polyurethane_isocyanate,"poly(5-Isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane-co-Propane-1,3-diol)",142.17274261946906,152.73600027215838,445.4974669697245,214.77003707936194,29.21811881872216,-93.40434022321536
polyurethane_isocyanate,"poly(5-Isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane-co-[4-(hydroxymethyl)cyclohexyl]methanol)",192.4619954317786,157.36225735824473,383.8274773707984,62.40235014766442,50.256818068314644,-78.6636579686625
polyurethane_isocyanate,"poly(5-isocyanato-2-[4-[6-[4-(5-isocyanato-1,3-dioxoisoindol-2-yl)phenyl]-4-(4-phenylphenyl)pyridin-2-yl]phenyl]isoindole-1,3-dione-co-benzene-1,3-diol)",376.7109735934247,354.5030649928977,141302.17052723153,141114.0470634703,50.64679787646063,-593.7742968036183
polyester,"poly(Butane-1,4-diol-co-Benzene-1,3-dicarboxylic acid)",88.76967374422372,161.9321136918274,5213.278718371663,4918.056019219415,18.080889483900894,26.43751214980915
polyester,"poly(Butane-1,4-diol-co-Decanedioic acid)",134.30583527945544,139.98844031003648,5200.989983905794,4888.214789575657,37.57925641931457,0.8977919928235565
polyester,"poly(Butane-1,4-diol-co-Nonanedioic acid)",124.59308390271664,139.3531459312023,104025.40435760844,103737.41218145762,20.827560378501524,3.2149691331583767
polyester,"poly(Butane-1,4-diol-co-Terephthalic acid)",88.67727622105352,162.12772242029752,5323.485303743693,4990.498686437384,15.990521511631954,66.1885870708374
polyester,"poly(Butane-1,4-diol-co-butanedioic acid)",75.85936868849103,136.80611339029616,17008771.66631152,17008512.27766739,20.34886456297652,26.372724504573142
polyester,"poly(Butane-1,4-diol-co-hexanedioic acid)",94.81185267518715,137.48125944052876,807153.2104656707,806895.6688241622,24.028896309274376,1.2174073300076316
polyester,"poly(Decane-1,10-diol-co-Octadecanedioic acid)",272.8147906116666,148.5544121392675,68146566515278.08,68146566514778.17,58.03696695550775,20.495354624664316
polyester,"poly(Decane-1,10-diol-co-Terephthalic acid)",147.29262271503592,165.24741674901392,87103052.70408803,87102651.33368395,27.174221820064986,61.650863646510004
polyester,"poly(Ethane-1,2-diol-co-2-phenyl-2,3-dihydroindene-1,1-dicarboxylic acid)",148.8203932640413,180.41550452907524,2755383307.4998817,2755383066.525762,19.664233407454,-107.93101369502088
polyester,"poly(Ethane-1,2-diol-co-4-[2-(4-carboxyphenoxy)ethoxy]benzoic acid)",137.52623228168622,187.45659681300563,428.7845261413832,209.865258869006,22.420871712385484,-128.48973962869013
polyester,"poly(Ethane-1,2-diol-co-4-[2-(4-carboxyphenyl)butan-2-yl]benzoic acid)",139.74092805322584,191.2474331825729,2071.234184637929,1736.331937099067,25.94197328850648,-22.033796405870817
polyester,"poly(Ethane-1,2-diol-co-4-[4-(4-carboxyphenoxy)butoxy]benzoic acid)",155.7537653071554,189.6163219398303,730.5990163139343,509.52066587505016,24.001067549064203,-148.2992627208472
polyester,"poly(Ethane-1,2-diol-co-Benzene-1,3-dicarboxylic acid)",68.76601878007767,160.2586754107476,475.08056433310327,200.69543933993478,18.311311454695243,27.047306258203378
polyester,"poly(Ethane-1,2-diol-co-Decanedioic acid)",114.2533458308624,138.45806593375883,381.4974777254524,86.0927373071013,35.86440563030589,6.8259314884554385
polyester,"poly(Ethane-1,2-diol-co-Terephthalic acid)",68.74482781806252,160.45196933392492,586.6921017965116,278.3223032569474,16.13766810752534,63.03352019060699
polyester,"poly(Ethane-1,2-diol-co-cyclohexane-1,4-dicarboxylic acid)",96.94866273090128,137.91854081627667,1476.3097311720817,1140.7159775100465,32.84048467242677,67.88393496950383
polyester,"poly(Ethane-1,2-diol-co-furan-2,5-dicarboxylic acid)",90.4542010396136,140.4557133198987,6381523.68192234,6381170.836526526,10.362193796267503,111.5717879169897
polyester,"poly(Ethane-1,2-diol-co-hexanedioic acid)",74.91389871436654,136.3777625565259,1.4156637940069268e+16,1.415663794006889e+16,23.663147993684717,142.77726743612757
