Chemistry,Molecule,Potential (kcal/mol),Kinetic (kcal/mol),vdW (kcal/mol),Electrostatic (kcal/mol),vdW 1-4 (kcal/mol),Electrostatic 1-4 (kcal/mol),Dihedral (kcal/mol),Angle (kcal/mol),Bond (kcal/mol)
polycarbonate_phosgene,"poly(1,1,1',1'-tetramethyl-3,3'-spirobi[2H-indene]-5,5'-diol-co-Carbonyl dichloride)",310.1291,0.0,-0.0077,37.9452,55.014,-176.9137,33.8524,187.141,173.0979
polyurethane_isocyanate,"poly(1,3-Bis(isocyanatomethyl)cyclohexane-co-Butane-1,4-diol)",22642166.0386,0.0,22641747.6047,-106.9074,77.1138,136.3342,31.4386,132.1359,149.6479
polyurethane_isocyanate,"poly(1,3-Bis(isocyanatomethyl)cyclohexane-co-[4-(hydroxymethyl)cyclohexyl]methanol)",519.6899,0.0,48.6941,-126.5761,73.8115,150.8414,47.3881,171.8093,153.7217
polyurethane_isocyanate,"poly(1,3-Bis(isocyanatomethyl)cyclohexane-co-[8-(hydroxymethyl)-4-tricyclo[5.2.1.02,6]decanyl]methanol)",76195.3768,0.0,75136.4619,-62.6815,521.4185,115.1224,86.8057,243.2126,155.0413
polyurethane_isocyanate,"poly(1,4-Diisocyanatocyclohexane-co-[8-(hydroxymethyl)-3-tricyclo[5.2.1.02,6]decanyl]methanol)",958542379.933,0.0,958541950.278,19.2454,61.7898,-8.4342,78.1473,225.4009,153.5499
polyurethane_isocyanate,"poly(1,4-diisocyanatobutane-co-Propane-1,3-diol)",446.4052,0.0,186.9887,-75.0028,29.499,65.4261,12.9029,80.9296,145.6617
polyamide,"poly(1,5-bis(3-aminophenyl)penta-1,4-dien-3-one-co-Benzene-1,3-dicarboxylic acid)",396.042,0.0,177.4007,10.0216,63.5559,-253.6297,27.334,138.9619,232.3977
polyamide,"poly(1,5-bis(3-aminophenyl)penta-1,4-dien-3-one-co-hexanedioic acid)",2621596383501.305,0.0,2621596384183.5474,-31.7524,51.1231,-269.4549,35.1983,145.241,208.1702
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-2,3,3a,5,6,6a-hexahydrofuro[5,4-d]furan-3,6-diol)",469.5444,0.0,34.5576,-139.94,49.0379,191.2141,47.9924,138.3516,148.3307
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-Butane-1,4-diol)",22352025.1579,0.0,22351692.1563,-72.1958,49.5501,83.1481,15.4347,111.4422,147.4894
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-Decane-1,10-diol)",4528657.323,0.0,4528201.2347,-70.1304,107.9144,75.3377,21.5573,170.0814,151.291
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-[6-(hydroxymethyl)pyridin-2-yl]methanol)",10644.6406,0.0,10083.7218,-118.92,256.0116,123.6315,7.0193,119.8601,173.3177
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-[8-(hydroxymethyl)-4-tricyclo[5.2.1.02,6]decanyl]methanol)",504324.7614,0.0,503338.5426,-12.4844,495.0539,57.6754,70.9224,222.5734,152.4936
polyurethane_isocyanate,"poly(1,8-Diisocyanatooctane-co-icosane-1,20-diol)",979.1167,0.0,390.1904,-52.5016,75.5482,67.2393,54.7887,285.5275,158.3242
