Chemistry,Molecule,Potential (kcal/mol),Kinetic (kcal/mol),vdW pairwise (kcal/mol),Electrostatic (kcal/mol),1-4 LJ (kcal/mol),1-4 Coulomb (kcal/mol),Torsion (kcal/mol),Angle (kcal/mol),Bond (kcal/mol)
NIPU,NIPU_11,26118.2444,0.0,23998.2635,-701.3613,447.5183,205.6854,307.5251,924.444,936.1703
NIPU,NIPU_2,16015.8939,0.0,13705.9623,-629.152,464.7511,-715.4404,403.6802,1731.2338,1054.8592
urethane,urethane_0,2509.0484,0.0,1127.245,2031.9199,621.6685,-6900.4149,465.7066,4417.8422,745.0805
urethane,urethane_1,2308.9098,0.0,1701.8747,569.9974,623.4489,-2090.4597,180.7761,731.2801,591.9922
urethane,urethane_10,2611.8068,0.0,821.7283,283.0705,835.3169,-1430.2346,350.8385,1165.3718,585.7152
urethane,urethane_14,3354.4142,0.0,1459.353,153.5438,525.7142,-992.3145,268.5547,1333.2802,606.283
urethane,urethane_15,20924.913,0.0,19510.5536,-308.66,366.583,-310.113,269.8025,814.8633,581.8832
urethane,urethane_17,-338.6883,0.0,781.1094,2615.6601,549.6743,-7030.1549,340.6219,1743.4136,660.9872
urethane,urethane_2,2270775.3346,0.0,2268905.1147,400.494,509.9049,-1186.9846,254.707,1287.5645,604.7534
urethane,urethane_22,1013185.1099,0.0,1009908.9388,1490.6015,1014.2406,-7357.8457,567.0277,6848.7392,713.5582
urethane,urethane_24,1484.3386,0.0,75.1761,-292.1903,215.5036,-65.9386,257.7606,720.4697,573.5574
urethane,urethane_29,334.6035,0.0,279.4177,786.2563,332.52,-2438.1617,194.2519,606.1829,574.1365
urethane,urethane_35,14016.8443,0.0,13753.8222,-21.9854,767.2047,-1804.3918,94.9609,649.4389,577.7948
urethane,urethane_41,5624.2139,0.0,3141.6735,117.0474,554.9805,-954.2175,334.0973,1797.4608,633.1721
urethane,urethane_42,-1183.9488,0.0,202.5593,2649.7443,524.9001,-7307.964,339.993,1738.2827,668.5361
urethane,urethane_44,14779.0569,0.0,14729.6864,1165.1917,432.4624,-3265.4415,143.4438,1000.4309,573.2831
urethane,urethane_45,3318.9333,0.0,1223.4727,1521.2733,772.0958,-5835.5197,559.7034,4355.3222,722.5862
urethane,urethane_47,949.1033,0.0,426.695,658.7929,569.2876,-2809.99,308.4774,1178.6489,617.1913
urethane,urethane_48,294535512596.5583,0.0,294535512596.5583,1825.7297,633.2529,-6408.781,362.6712,2010.1302,688.4367
urethane,urethane_51,1797.434,0.0,557.8195,6.3879,533.7714,-858.4702,185.0975,797.44,575.3877
urethane,urethane_52,2626.9489,0.0,1462.7732,71.316,345.4618,-920.846,204.9416,882.3442,580.9579
urethane,urethane_6,664.8718,0.0,96.2587,687.6239,318.4693,-2478.5492,323.5551,1128.0501,589.4641
urethane,urethane_8,1762.1819,0.0,549.7975,12.324,589.3206,-827.2775,157.6486,710.3142,570.0546
