,0
1,BAD_NUM_MONOMERS
2,BAD_NUM_MONOMERS
3,BAD_NUM_MONOMERS
4,BAD_NUM_MONOMERS
8,BAD_NUM_MONOMERS
9,BANNED_MONOMER
11,BAD_NUM_MONOMERS
13,BAD_NUM_MONOMERS
14,BAD_NUM_MONOMERS
17,BAD_NUM_MONOMERS
19,BAD_NUM_MONOMERS
20,BAD_NUM_MONOMERS
21,BAD_NUM_FN_GRPS
23,BAD_NUM_MONOMERS
24,BAD_NUM_FN_GRPS
25,BAD_NUM_FN_GRPS
26,BAD_NUM_FN_GRPS
29,ILLEGAL_ATOMS
33,BAD_NUM_MONOMERS
34,BAD_NUM_MONOMERS
38,BAD_NUM_MONOMERS
39,BAD_NUM_MONOMERS
40,BAD_NUM_MONOMERS
43,ILLEGAL_ATOMS
44,BAD_NUM_MONOMERS
46,BAD_NUM_MONOMERS
49,BAD_NUM_MONOMERS
50,BAD_NUM_MONOMERS
51,BAD_NUM_MONOMERS
52,NO_RXN_TEMPLATE_MATCH
53,BAD_NUM_MONOMERS
55,BANNED_MONOMER
56,BAD_NUM_MONOMERS
59,BAD_NUM_MONOMERS
63,BAD_NUM_MONOMERS
64,BAD_NUM_MONOMERS
68,BAD_NUM_FN_GRPS
70,BAD_NUM_MONOMERS
73,BAD_NUM_MONOMERS
74,BAD_NUM_FN_GRPS
75,BAD_NUM_MONOMERS
76,BAD_NUM_MONOMERS
77,BAD_NUM_MONOMERS
81,BAD_NUM_MONOMERS
83,ILLEGAL_ATOMS
91,BAD_NUM_MONOMERS
93,BAD_NUM_MONOMERS
94,BAD_NUM_MONOMERS
97,BAD_NUM_MONOMERS
98,BAD_NUM_MONOMERS
100,BAD_NUM_MONOMERS
103,ILLEGAL_ATOMS
105,ILLEGAL_ATOMS
108,BAD_NUM_MONOMERS
109,BAD_NUM_MONOMERS
116,BAD_NUM_MONOMERS
119,BAD_NUM_MONOMERS
120,ILLEGAL_ATOMS
121,BAD_NUM_MONOMERS
124,BAD_NUM_MONOMERS
127,BAD_NUM_MONOMERS
128,BAD_NUM_MONOMERS
129,ILLEGAL_ATOMS
132,ILLEGAL_ATOMS
133,ILLEGAL_ATOMS
134,BAD_NUM_MONOMERS
136,BAD_NUM_MONOMERS
137,BAD_NUM_MONOMERS
138,ILLEGAL_ATOMS
140,BAD_NUM_MONOMERS
141,BAD_NUM_MONOMERS
144,BANNED_MONOMER
145,BAD_NUM_MONOMERS
146,BAD_NUM_MONOMERS
149,BAD_NUM_FN_GRPS
151,BAD_NUM_FN_GRPS
155,BAD_NUM_MONOMERS
156,BAD_NUM_FN_GRPS
157,NO_RXN_TEMPLATE_MATCH
158,BAD_NUM_MONOMERS
160,ILLEGAL_ATOMS
162,BAD_NUM_MONOMERS
163,BAD_NUM_MONOMERS
166,ILLEGAL_ATOMS
170,BAD_NUM_MONOMERS
176,BAD_NUM_MONOMERS
179,ILLEGAL_ATOMS
181,BAD_NUM_MONOMERS
182,BAD_NUM_MONOMERS
188,BANNED_MONOMER
191,BAD_NUM_FN_GRPS
194,BAD_NUM_MONOMERS
195,BAD_NUM_MONOMERS
196,BAD_NUM_MONOMERS
197,BAD_NUM_MONOMERS
198,ILLEGAL_ATOMS
201,BAD_NUM_MONOMERS
204,BAD_NUM_MONOMERS
208,ILLEGAL_ATOMS
209,BAD_NUM_MONOMERS
212,BANNED_MONOMER
213,BAD_NUM_FN_GRPS
214,BAD_NUM_MONOMERS
222,BANNED_MONOMER
223,BAD_NUM_MONOMERS
224,BAD_NUM_MONOMERS
229,BAD_NUM_MONOMERS
230,BAD_NUM_MONOMERS
231,BAD_NUM_MONOMERS
233,BAD_NUM_MONOMERS
234,BAD_NUM_MONOMERS
236,BAD_NUM_MONOMERS
240,BAD_NUM_MONOMERS
241,BAD_NUM_FN_GRPS
243,BAD_NUM_MONOMERS
246,BAD_NUM_MONOMERS
247,BAD_NUM_MONOMERS
249,BAD_NUM_MONOMERS
254,BAD_NUM_MONOMERS
255,NO_RXN_TEMPLATE_MATCH
258,ILLEGAL_ATOMS
261,BAD_NUM_MONOMERS
264,BAD_NUM_MONOMERS
266,BAD_NUM_MONOMERS
267,NO_RXN_TEMPLATE_MATCH
269,ILLEGAL_ATOMS
271,BAD_NUM_MONOMERS
