,0
0,NO_IUPAC_NAME
3,ILLEGAL_ATOMS
5,NO_IUPAC_NAME
7,NO_IUPAC_NAME
10,ILLEGAL_ATOMS
13,ILLEGAL_ATOMS
18,NO_IUPAC_NAME
19,BANNED_MONOMER
21,BAD_NUM_MONOMERS
22,ILLEGAL_ATOMS
25,ILLEGAL_ATOMS
28,ILLEGAL_ATOMS
30,ILLEGAL_ATOMS
31,NO_IUPAC_NAME
34,ILLEGAL_ATOMS
38,NO_IUPAC_NAME
40,NO_IUPAC_NAME
41,BAD_NUM_FN_GRPS
42,NO_IUPAC_NAME
43,ILLEGAL_ATOMS
45,NO_IUPAC_NAME
47,NO_IUPAC_NAME
49,ILLEGAL_ATOMS
53,NO_IUPAC_NAME
57,NO_IUPAC_NAME
58,NO_IUPAC_NAME
59,NO_IUPAC_NAME
63,NO_IUPAC_NAME
64,NO_IUPAC_NAME
65,ILLEGAL_ATOMS
66,NO_IUPAC_NAME
68,NO_IUPAC_NAME
74,NO_IUPAC_NAME
80,ILLEGAL_ATOMS
84,NO_IUPAC_NAME
88,ILLEGAL_ATOMS
92,ILLEGAL_ATOMS
93,ILLEGAL_ATOMS
95,NO_IUPAC_NAME
96,NO_IUPAC_NAME
98,NO_IUPAC_NAME
99,BAD_NUM_FN_GRPS
100,ILLEGAL_ATOMS
102,ILLEGAL_ATOMS
106,NO_IUPAC_NAME
110,NO_IUPAC_NAME
113,NO_IUPAC_NAME
114,BAD_NUM_MONOMERS
115,BAD_NUM_MONOMERS
121,NO_IUPAC_NAME
122,NO_IUPAC_NAME
123,NO_IUPAC_NAME
125,ILLEGAL_ATOMS
128,NO_IUPAC_NAME
137,BAD_NUM_MONOMERS
139,BAD_NUM_FN_GRPS
142,ILLEGAL_ATOMS
144,NO_IUPAC_NAME
145,ILLEGAL_ATOMS
148,BAD_NUM_FN_GRPS
149,ILLEGAL_ATOMS
150,ILLEGAL_ATOMS
152,NO_IUPAC_NAME
153,ILLEGAL_ATOMS
155,BANNED_MONOMER
158,BAD_NUM_MONOMERS
159,ILLEGAL_ATOMS
161,NO_IUPAC_NAME
162,NO_IUPAC_NAME
165,NO_IUPAC_NAME
166,BAD_NUM_FN_GRPS
167,NO_IUPAC_NAME
168,BAD_NUM_MONOMERS
172,ILLEGAL_ATOMS
173,ILLEGAL_ATOMS
175,ILLEGAL_ATOMS
176,ILLEGAL_ATOMS
177,BAD_NUM_MONOMERS
179,NO_IUPAC_NAME
180,BANNED_MONOMER
185,ILLEGAL_ATOMS
186,ILLEGAL_ATOMS
187,BAD_NUM_MONOMERS
189,NO_IUPAC_NAME
191,NO_IUPAC_NAME
192,NO_IUPAC_NAME
197,NO_IUPAC_NAME
198,NO_IUPAC_NAME
199,NO_IUPAC_NAME
200,NO_IUPAC_NAME
209,NO_IUPAC_NAME
212,NO_IUPAC_NAME
215,ILLEGAL_ATOMS
216,ILLEGAL_ATOMS
219,ILLEGAL_ATOMS
221,ILLEGAL_ATOMS
222,NO_IUPAC_NAME
223,NO_IUPAC_NAME
225,ILLEGAL_ATOMS
228,ILLEGAL_ATOMS
232,NO_IUPAC_NAME
234,BANNED_MONOMER
235,ILLEGAL_ATOMS
236,BAD_NUM_MONOMERS
238,ILLEGAL_ATOMS
240,BAD_NUM_MONOMERS
242,ILLEGAL_ATOMS
244,NO_IUPAC_NAME
246,ILLEGAL_ATOMS
248,NO_IUPAC_NAME
250,ILLEGAL_ATOMS
253,NO_IUPAC_NAME
255,BAD_NUM_FN_GRPS
256,ILLEGAL_ATOMS
257,NO_IUPAC_NAME
259,NO_IUPAC_NAME
262,ILLEGAL_ATOMS
263,ILLEGAL_ATOMS
265,NO_IUPAC_NAME
266,BAD_NUM_FN_GRPS
267,NO_IUPAC_NAME
269,NO_IUPAC_NAME
271,BAD_NUM_MONOMERS
272,NO_IUPAC_NAME
273,BAD_NUM_MONOMERS
278,NO_IUPAC_NAME
279,NO_IUPAC_NAME
280,NO_IUPAC_NAME
283,NO_IUPAC_NAME
286,NO_IUPAC_NAME
287,NO_IUPAC_NAME
288,NO_IUPAC_NAME
291,NO_IUPAC_NAME
292,ILLEGAL_ATOMS
293,NO_IUPAC_NAME
295,ILLEGAL_ATOMS
300,BAD_NUM_MONOMERS
301,NO_IUPAC_NAME
302,NO_IUPAC_NAME
306,NO_IUPAC_NAME
307,BAD_NUM_MONOMERS
308,NO_IUPAC_NAME
310,ILLEGAL_ATOMS
311,NO_IUPAC_NAME
313,BAD_NUM_MONOMERS
316,BAD_NUM_FN_GRPS
318,NO_IUPAC_NAME
321,ILLEGAL_ATOMS
325,ILLEGAL_ATOMS
326,BAD_NUM_MONOMERS
327,NO_IUPAC_NAME
328,ILLEGAL_ATOMS
331,BAD_NUM_MONOMERS
334,BAD_NUM_MONOMERS
338,NO_IUPAC_NAME
339,ILLEGAL_ATOMS
341,NO_IUPAC_NAME
345,BAD_NUM_MONOMERS
350,NO_IUPAC_NAME
352,NO_IUPAC_NAME
357,ILLEGAL_ATOMS
359,NO_IUPAC_NAME
360,ILLEGAL_ATOMS
361,ILLEGAL_ATOMS
363,NO_RXN_TEMPLATE_MATCH
364,ILLEGAL_ATOMS
365,NO_IUPAC_NAME
367,BAD_NUM_FN_GRPS
368,NO_IUPAC_NAME
369,ILLEGAL_ATOMS
370,BAD_NUM_MONOMERS
371,NO_IUPAC_NAME
376,NO_IUPAC_NAME
378,BAD_NUM_MONOMERS
379,BAD_NUM_FN_GRPS
383,ILLEGAL_ATOMS
384,NO_IUPAC_NAME
388,BANNED_MONOMER
389,NO_IUPAC_NAME
390,NO_IUPAC_NAME
391,NO_IUPAC_NAME
392,NO_IUPAC_NAME
393,NO_IUPAC_NAME
394,NO_IUPAC_NAME
398,ILLEGAL_ATOMS
