,Chemistry,hydroxyl,isocyanate
0,urethane,[#8](-[#6](-[#6](-[#8]-[#6]1=[#6](-[#6](=[#6](-[#6](-[#6]2=[#6](-[#6](=[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](=[#6]-2-[H])-[H])-[H])-[H])(-[#6](-[#9])(-[#9])-[#9])-[#6](-[#9])(-[#9])-[#9])-[#6](=[#6]-1-[H])-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6]2-[#6](=[#6]-1-[H])-[#6](=[#8])-[#7](-[#6]1=[#6](-[#6](=[#6](-[#15](=[#8])(-[#6]3=[#6](-[#6](=[#6](-[#6](=[#6]-3-[H])-[H])-[H])-[H])-[H])-[#6]3=[#6](-[#6](=[#6](-[#7]4-[#6](=[#8])-[#6]5=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-5-[#6]-4=[#8])-[H])-[H])-[H])-[#6](=[#6]-3-[H])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]-2=[#8])-[H])-[H]
1,urethane,[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[#8]-[H])(-[H])-[H])-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])(-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6](-[#6](-[#6]2=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-2-[H])-[H])-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H]
2,urethane,[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[#6](-[#6](=[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])(-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
3,urethane,[#8](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
4,urethane,[#8]=[#15](-[#6]1=[#6](-[#6](=[#6](-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[H])(-[#6]1=[#6](-[#6](=[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]1=[#6](-[#6](=[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H],[#6](-[#15](=[#8])(-[#6]1=[#6](-[#6](=[#6](-[#7]2-[#6](=[#8])-[#6]3=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-3-[#6]-2=[#8])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]1=[#6](-[#6](=[#6](-[#7]2-[#6](=[#8])-[#6]3=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-3-[#6]-2=[#8])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])(-[H])(-[H])-[H]
5,urethane,[#8](-[#6](-[#6]1(-[#6](-[#6]2(-[#6]3(-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[#6](-[#6]-3(-[H])-[H])(-[#6]-2(-[#6]-1(-[H])-[H])-[H])-[H])-[H])(-[H])-[H])-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
6,urethane,[#8](-[#6]1=[#6](-[#6](=[#6](-[#7]=[#6](-[#6]2=[#6](-[#6](=[#6](-[#6](=[#7]-[#6]3=[#6](-[#6](=[#6](-[#8]-[H])-[#6](=[#6]-3-[H])-[H])-[H])-[H])-[H])-[#6](=[#6]-2-[H])-[H])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[H],[#6](-[#6]1(-[#6](-[H])(-[H])-[H])-[#6](-[#6](-[#7]=[#6]=[#8])(-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[#7]=[#6]=[#8])(-[H])-[H])-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])(-[H])-[H]
7,urethane,[#8](-[#6]1(-[#6](-[#8]-[#6]2(-[#6](-[#8]-[H])(-[#6](-[#8]-[#6]-1-2-[H])(-[H])-[H])-[H])-[H])(-[H])-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
8,urethane,[#8](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
9,urethane,[#8](-[#6](-[#6](-[#7](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6]1=[#6](-[#6](=[#6](-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
10,urethane,[#8](-[#6](-[#6]1(-[#6](-[#6]2(-[#6](-[#6]-1(-[#6]1(-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[#6]-2-1-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1(-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])-[H]
11,urethane,[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6]1=[#6](-[#6](-[#35])=[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](-[#35])=[#6]-1-[H])-[H])-[#6]1=[#6](-[#6](-[#35])=[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](-[#35])=[#6]-1-[H])-[H])(-[H])(-[H])-[H],[#6](-[#15](=[#8])(-[#6]1=[#6](-[#6](=[#6](-[#7]2-[#6](=[#8])-[#6]3=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-3-[#6]-2=[#8])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]1=[#6](-[#6](=[#6](-[#7]2-[#6](=[#8])-[#6]3=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-3-[#6]-2=[#8])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])(-[H])(-[H])-[H]
12,urethane,[#8](-[#6](-[#6](-[#7](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6]1=[#6](-[#6](=[#6](-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6](-[#6](-[#6]2=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-2-[H])-[H])-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H]
13,urethane,[#8](-[#6](-[#6]1=[#6](-[#6](=[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])=[#7]-1)-[H])-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
14,urethane,[#8](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
