,mechanism,rxn_name,smiles_expanded,smiles_expanded_monomer_1,smiles_expanded_monomer_2,IUPAC_monomer_1,IUPAC_monomer_2,smiles_monomer,silicon_present,sulfur_present,metal_present
0,NIPU,polyurethane_nonisocyanate,[H]-[C](-[H])(-[H])-[O]-[C](=[O])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[H].[H]-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],[H]-[C](-[H])(-[H])-[O]-[C](=[O])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[H],[H]-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],"methyl 8-[5-[[5-[(5-ethyl-2-oxo-1,3-dioxolan-4-yl)methyl]-2-oxo-1,3-dioxolan-4-yl]methyl]-2-oxo-1,3-dioxolan-4-yl]octanoate",2-[2-(2-aminoethoxy)ethoxy]ethanamine,NCCOCCOCCN.CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC,False,False,False
2,NIPU,polyurethane_nonisocyanate,[H]-[C](-[H])(-[H])-[O]-[C](=[O])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[H].[H]-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],[H]-[C](-[H])(-[H])-[O]-[C](=[O])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[H],[H]-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],"methyl 8-[5-[[5-[(5-ethyl-2-oxo-1,3-dioxolan-4-yl)methyl]-2-oxo-1,3-dioxolan-4-yl]methyl]-2-oxo-1,3-dioxolan-4-yl]octanoate","butane-1,4-diamine",NCCCCN.CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC,False,False,False
22,NIPU,polyurethane_nonisocyanate,[H]-[C](-[H])(-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H].[H]-[O]-[C](-[C](=[O])-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H])(-[C](-[H])(-[H])-[C](=[O])-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H])-[C](-[H])(-[H])-[C](=[O])-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],[H]-[C](-[H])(-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H],[H]-[O]-[C](-[C](=[O])-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H])(-[C](-[H])(-[H])-[C](=[O])-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H])-[C](-[H])(-[H])-[C](=[O])-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],"4-[6-[(2-oxo-1,3-dioxolan-4-yl)methoxy]hexoxymethyl]-1,3-dioxolan-2-one","1-N,2-N,3-N-tris(6-aminohexyl)-2-hydroxypropane-1,2,3-tricarboxamide",O=C1OCC(COCCCCCCOCC2COC(=O)O2)O1.NCCCCCCNC(=O)CC(O)(CC(=O)NCCCCCCN)C(=O)NCCCCCCN,False,False,False
23,NIPU,polyurethane_nonisocyanate,[H]-[C](-[H])(-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H].[H]-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],[H]-[C](-[H])(-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H],[H]-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],"4-[6-[(2-oxo-1,3-dioxolan-4-yl)methoxy]hexoxymethyl]-1,3-dioxolan-2-one","N',N'-bis(2-aminoethyl)ethane-1,2-diamine",NCCN(CCN)CCN.O=C1OCC(COCCCCCCOCC2COC(=O)O2)O1,False,False,False
33,NIPU,polyurethane_nonisocyanate,[H]-[C](-[H])(-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H].[H]-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],[H]-[C](-[H])(-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H],[H]-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],"4-[6-[(2-oxo-1,3-dioxolan-4-yl)methoxy]hexoxymethyl]-1,3-dioxolan-2-one","N'-(3-aminopropyl)propane-1,3-diamine",NCCCNCCCN.O=C1OCC(COCCCCCCOCC2COC(=O)O2)O1,False,False,False
36,NIPU,polyurethane_nonisocyanate,[H]-[C](-[H])(-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H].[H]-[C]1=[C](-[H])-[C](-[C](-[H])(-[H])-[N](-[H])-[H])=[C](-[H])-[C](-[C](-[H])(-[H])-[N](-[H])-[H])=[C]-1-[H],[H]-[C](-[H])(-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[H],[H]-[C]1=[C](-[H])-[C](-[C](-[H])(-[H])-[N](-[H])-[H])=[C](-[H])-[C](-[C](-[H])(-[H])-[N](-[H])-[H])=[C]-1-[H],"4-[6-[(2-oxo-1,3-dioxolan-4-yl)methoxy]hexoxymethyl]-1,3-dioxolan-2-one",[3-(aminomethyl)phenyl]methanamine,NCc1cccc(CN)c1.O=C1OCC(COCCCCCCOCC2COC(=O)O2)O1,False,False,False
37,NIPU,polyurethane_nonisocyanate,[H]-[C](-[H])(-[H])-[O]-[C](=[O])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[H].[H]-[C]1=[C](-[H])-[C](-[C](-[H])(-[H])-[N](-[H])-[H])=[C](-[H])-[C](-[C](-[H])(-[H])-[N](-[H])-[H])=[C]-1-[H],[H]-[C](-[H])(-[H])-[O]-[C](=[O])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[H],[H]-[C]1=[C](-[H])-[C](-[C](-[H])(-[H])-[N](-[H])-[H])=[C](-[H])-[C](-[C](-[H])(-[H])-[N](-[H])-[H])=[C]-1-[H],"methyl 8-[5-[[5-[(5-ethyl-2-oxo-1,3-dioxolan-4-yl)methyl]-2-oxo-1,3-dioxolan-4-yl]methyl]-2-oxo-1,3-dioxolan-4-yl]octanoate",[3-(aminomethyl)phenyl]methanamine,NCc1cccc(CN)c1.CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC,False,False,False
39,NIPU,polyurethane_nonisocyanate,[H]-[C](-[H])(-[H])-[O]-[C](=[O])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[H].[H]-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],[H]-[C](-[H])(-[H])-[O]-[C](=[O])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C]1(-[H])-[O]-[C](=[O])-[O]-[C]-1(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[H],[H]-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],"methyl 8-[5-[[5-[(5-ethyl-2-oxo-1,3-dioxolan-4-yl)methyl]-2-oxo-1,3-dioxolan-4-yl]methyl]-2-oxo-1,3-dioxolan-4-yl]octanoate","N'-(3-aminopropyl)propane-1,3-diamine",NCCCNCCCN.CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC,False,False,False
40,NIPU,polyurethane_nonisocyanate,[H]-[C]1=[C](-[O]-[C](-[H])(-[H])-[C]2(-[H])-[O]-[C](=[O])-[O]-[C]-2(-[H])-[H])-[C](-[H])=[C](-[H])-[C](-[C](-[C]2=[C](-[H])-[C](-[H])=[C](-[O]-[C](-[H])(-[H])-[C]3(-[H])-[O]-[C](=[O])-[O]-[C]-3(-[H])-[H])-[C](-[H])=[C]-2-[H])(-[C](-[H])(-[H])-[H])-[C](-[H])(-[H])-[H])=[C]-1-[H].[H]-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],[H]-[C]1=[C](-[O]-[C](-[H])(-[H])-[C]2(-[H])-[O]-[C](=[O])-[O]-[C]-2(-[H])-[H])-[C](-[H])=[C](-[H])-[C](-[C](-[C]2=[C](-[H])-[C](-[H])=[C](-[O]-[C](-[H])(-[H])-[C]3(-[H])-[O]-[C](=[O])-[O]-[C]-3(-[H])-[H])-[C](-[H])=[C]-2-[H])(-[C](-[H])(-[H])-[H])-[C](-[H])(-[H])-[H])=[C]-1-[H],[H]-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],"4-[[4-[2-[4-[(2-oxo-1,3-dioxolan-4-yl)methoxy]phenyl]propan-2-yl]phenoxy]methyl]-1,3-dioxolan-2-one","dodecane-1,12-diamine",NCCCCCCCCCCCCN.CC(C)(c1ccc(OCC2COC(=O)O2)cc1)c1ccc(OCC2COC(=O)O2)cc1,False,False,False
45,NIPU,polyurethane_nonisocyanate,[H]-[C]1=[C](-[O]-[C](-[H])(-[H])-[C]2(-[H])-[O]-[C](=[O])-[O]-[C]-2(-[H])-[H])-[C](-[H])=[C](-[H])-[C](-[O]-[C](-[H])(-[H])-[C]2(-[H])-[O]-[C](=[O])-[O]-[C]-2(-[H])-[H])=[C]-1-[H].[H]-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],[H]-[C]1=[C](-[O]-[C](-[H])(-[H])-[C]2(-[H])-[O]-[C](=[O])-[O]-[C]-2(-[H])-[H])-[C](-[H])=[C](-[H])-[C](-[O]-[C](-[H])(-[H])-[C]2(-[H])-[O]-[C](=[O])-[O]-[C]-2(-[H])-[H])=[C]-1-[H],[H]-[N](-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[H])-[H],"4-[[4-[(2-oxo-1,3-dioxolan-4-yl)methoxy]phenoxy]methyl]-1,3-dioxolan-2-one","hexane-1,6-diamine",NCCCCCCN.O=C1OCC(COc2ccc(OCC3COC(=O)O3)cc2)O1,False,False,False
