,0
0,NO_RXN_TEMPLATE_MATCH
1,NO_RXN_TEMPLATE_MATCH
2,NO_RXN_TEMPLATE_MATCH
3,NO_RXN_TEMPLATE_MATCH
5,NO_RXN_TEMPLATE_MATCH
6,NO_RXN_TEMPLATE_MATCH
7,NO_RXN_TEMPLATE_MATCH
8,NO_RXN_TEMPLATE_MATCH
11,NO_RXN_TEMPLATE_MATCH
12,NO_RXN_TEMPLATE_MATCH
13,NO_RXN_TEMPLATE_MATCH
15,NO_RXN_TEMPLATE_MATCH
17,NO_RXN_TEMPLATE_MATCH
18,NO_RXN_TEMPLATE_MATCH
19,NO_RXN_TEMPLATE_MATCH
20,NO_RXN_TEMPLATE_MATCH
21,NO_RXN_TEMPLATE_MATCH
22,BAD_NUM_FN_GRPS
23,BAD_NUM_FN_GRPS
24,NO_RXN_TEMPLATE_MATCH
25,BAD_NUM_FN_GRPS
26,NO_RXN_TEMPLATE_MATCH
28,NO_RXN_TEMPLATE_MATCH
29,NO_RXN_TEMPLATE_MATCH
30,NO_RXN_TEMPLATE_MATCH
34,BAD_NUM_FN_GRPS
35,BAD_NUM_FN_GRPS
37,NO_RXN_TEMPLATE_MATCH
38,NO_RXN_TEMPLATE_MATCH
39,NO_RXN_TEMPLATE_MATCH
41,NO_RXN_TEMPLATE_MATCH
42,BAD_NUM_FN_GRPS
43,NO_RXN_TEMPLATE_MATCH
44,NO_RXN_TEMPLATE_MATCH
46,NO_RXN_TEMPLATE_MATCH
47,NO_RXN_TEMPLATE_MATCH
48,NO_RXN_TEMPLATE_MATCH
50,NO_RXN_TEMPLATE_MATCH
71,BAD_NUM_MONOMERS
100,ILLEGAL_ATOMS
103,BAD_NUM_FN_GRPS
