,0
0,BAD_NUM_FN_GRPS
1,BAD_NUM_FN_GRPS
2,BAD_NUM_FN_GRPS
3,BAD_NUM_FN_GRPS
4,BAD_NUM_FN_GRPS
5,BAD_NUM_FN_GRPS
6,BAD_NUM_FN_GRPS
7,BAD_NUM_FN_GRPS
8,BAD_NUM_FN_GRPS
9,BAD_NUM_FN_GRPS
10,BAD_NUM_FN_GRPS
11,BAD_NUM_FN_GRPS
12,BAD_NUM_FN_GRPS
13,BAD_NUM_FN_GRPS
14,BAD_NUM_FN_GRPS
15,BAD_NUM_FN_GRPS
16,BAD_NUM_FN_GRPS
17,BAD_NUM_FN_GRPS
18,BAD_NUM_FN_GRPS
19,BAD_NUM_FN_GRPS
20,BAD_NUM_FN_GRPS
21,BAD_NUM_FN_GRPS
22,BAD_NUM_FN_GRPS
23,BAD_NUM_FN_GRPS
24,BAD_NUM_FN_GRPS
25,BAD_NUM_FN_GRPS
26,BAD_NUM_FN_GRPS
27,BAD_NUM_FN_GRPS
28,BAD_NUM_FN_GRPS
29,BAD_NUM_FN_GRPS
30,BAD_NUM_FN_GRPS
31,BAD_NUM_FN_GRPS
32,BAD_NUM_FN_GRPS
33,BAD_NUM_FN_GRPS
34,BAD_NUM_FN_GRPS
35,BAD_NUM_FN_GRPS
36,BAD_NUM_FN_GRPS
37,BAD_NUM_FN_GRPS
38,BAD_NUM_FN_GRPS
39,BAD_NUM_FN_GRPS
40,BAD_NUM_FN_GRPS
41,BAD_NUM_FN_GRPS
42,BAD_NUM_FN_GRPS
43,BAD_NUM_FN_GRPS
44,BAD_NUM_FN_GRPS
45,BAD_NUM_FN_GRPS
46,BAD_NUM_FN_GRPS
47,BAD_NUM_FN_GRPS
48,BAD_NUM_FN_GRPS
49,BAD_NUM_FN_GRPS
50,BAD_NUM_FN_GRPS
51,NO_IUPAC_NAME
55,NO_IUPAC_NAME
62,NO_IUPAC_NAME
68,NO_IUPAC_NAME
71,BAD_NUM_MONOMERS
72,NO_IUPAC_NAME
73,NO_IUPAC_NAME
76,NO_IUPAC_NAME
78,NO_IUPAC_NAME
81,NO_IUPAC_NAME
82,NO_IUPAC_NAME
89,NO_IUPAC_NAME
96,NO_IUPAC_NAME
99,NO_IUPAC_NAME
100,ILLEGAL_ATOMS
103,BAD_NUM_FN_GRPS
109,NO_IUPAC_NAME
