smiles_monomer,smiles_polymer_DP2,smiles_polymer_DP3,smiles_polymer_DP6,smiles_polymer_DP18,num_monomers,mechanism,Glass_Transition,Melt_Temp,Cp_solid_slope,Cp_solid_intercept,Cp_liquid_slope,Cp_liquid_intercept,log10_ElongBreak,YoungMod,Tensile_Strength,Density,log10_Permeability_CH4,log10_Permeability_CO2,log10_Permeability_N2,log10_Permeability_O2,log10_Permeability_H2,log10_Permeability_H2O
O=C(Cl)Cl.Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,O=C(Cl)Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,O=C(Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1)Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,O=C(Cl)Oc1ccc(C(c2ccc(OC(=O)Oc3ccc(C(c4ccc(OC(=O)Oc5ccc(C(c6ccc(O)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,O=C(Cl)Oc1ccc(C(c2ccc(OC(=O)Oc3ccc(C(c4ccc(OC(=O)Oc5ccc(C(c6ccc(OC(=O)Oc7ccc(C(c8ccc(OC(=O)Oc9ccc(C(c%10ccc(OC(=O)Oc%11ccc(C(c%12ccc(OC(=O)Oc%13ccc(C(c%14ccc(OC(=O)Oc%15ccc(C(c%16ccc(OC(=O)Oc%17ccc(C(c%18ccc(O)cc%18)(C(F)(F)F)C(F)(F)F)cc%17)cc%16)(C(F)(F)F)C(F)(F)F)cc%15)cc%14)(C(F)(F)F)C(F)(F)F)cc%13)cc%12)(C(F)(F)F)C(F)(F)F)cc%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)cc8)(C(F)(F)F)C(F)(F)F)cc7)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,2,carbonate,176,,,,,,,,,1.479,0.01775892332,1.380211242,0.2256874444,0.8388490907,,
C=CSCCC,CCCSCCC(C)SCCC,CCCSC(C)CC(SCCC)C(C)SCCC,CCCSCCC(CCC(SCCC)C(CCC(CCSCCC)SCCC)SCCC)SCCC,CCCSCCCC(CC(CC(SCCC)C(CC(CCC(SCCC)C(CC(CC(CCC(CC(SCCC)C(CCC(CC(CC(SCCC)C(CC(C)SCCC)SCCC)SCCC)SCCC)SCCC)SCCC)SCCC)SCCC)SCCC)SCCC)SCCC)SCCC)SCCC,1,vinyl,,,,,,,,,,1.021,,,,,,
C=C(C#N)C(=O)OCC,CCOC(=O)C(C#N)CC(C)(C#N)C(=O)OCC,CCOC(=O)C(C#N)CC(C#N)(CC(C)(C#N)C(=O)OCC)C(=O)OCC,CCOC(=O)C(C#N)CCC(C#N)(C(=O)OCC)C(C#N)(CC(C#N)(CCC(C#N)(CC(C#N)C(=O)OCC)C(=O)OCC)C(=O)OCC)C(=O)OCC,CCOC(=O)C(C#N)CCC(C#N)(CC(C#N)(C(=O)OCC)C(C#N)(CC(C#N)(CC(C#N)(CC(C#N)(CCC(C#N)(C(=O)OCC)C(C#N)(CCC(C#N)(CC(C#N)(C(=O)OCC)C(C#N)(CCC(C#N)(C(=O)OCC)C(C#N)(CC(C#N)(CCC(C#N)(C(=O)OCC)C(C#N)(CCC(C#N)C(=O)OCC)C(=O)OCC)C(=O)OCC)C(=O)OCC)C(=O)OCC)C(=O)OCC)C(=O)OCC)C(=O)OCC)C(=O)OCC)C(=O)OCC)C(=O)OCC)C(=O)OCC,1,vinyl,131.85,,,,,,,2200,,1.224,,,,,,
C=C(C)c1ccccc1,CC(CC(C)(C)c1ccccc1)c1ccccc1,CC(CCC(C)(CC(C)c1ccccc1)c1ccccc1)c1ccccc1,CC(CCC(C)(CC(C)(CC(C)(c1ccccc1)C(C)(CCC(C)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,CC(CCC(C)(c1ccccc1)C(C)(CCC(C)(CC(C)(CC(C)(c1ccccc1)C(C)(CCC(C)(CC(C)(c1ccccc1)C(C)(CC(C)(CCC(C)(c1ccccc1)C(C)(CC(C)(CC(C)(CC(C)(CCC(C)(c1ccccc1)C(C)(C)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,1,vinyl,171.85,,0.51,-0.16,0.58,-6.52,,,,1.07,,,,,,
C=C(C)C(=O)OC1CCCCC1,CC(CCC(C)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1,CC(CCC(C)(CC(C)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1,CC(CCC(C)(CC(C)(CC(C)(C(=O)OC1CCCCC1)C(C)(CCC(C)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1,CC(CCC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(C(=O)OC1CCCCC1)C(C)(CC(C)(CCC(C)(C(=O)OC1CCCCC1)C(C)(CCC(C)(CC(C)(CC(C)(CC(C)(CC(C)(C(=O)OC1CCCCC1)C(C)(CCC(C)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1)C(=O)OC1CCCCC1,1,vinyl,104.35,,,,,,,,,1.1,,,,,,
O=C(O)c1cccc(C(=O)O)c1.Nc1ccc(-c2ccc(Oc3ccc(Oc4cc(-c5ccc(N)cc5)cc(C(F)(F)F)c4O)cc3)c(C(F)(F)F)c2)cc1,Nc1ccc(-c2cc(Oc3ccc(Oc4ccc(-c5ccc(NC(=O)c6cccc(C(=O)O)c6)cc5)cc4C(F)(F)F)cc3)c(O)c(C(F)(F)F)c2)cc1,Nc1ccc(-c2ccc(Oc3ccc(Oc4cc(-c5ccc(NC(=O)c6cccc(C(=O)Nc7ccc(-c8ccc(Oc9ccc(Oc%10cc(-c%11ccc(N)cc%11)cc(C(F)(F)F)c%10O)cc9)c(C(F)(F)F)c8)cc7)c6)cc5)cc(C(F)(F)F)c4O)cc3)c(C(F)(F)F)c2)cc1,Nc1ccc(-c2cc(Oc3ccc(Oc4ccc(-c5ccc(NC(=O)c6cccc(C(=O)Nc7ccc(-c8cc(Oc9ccc(Oc%10ccc(-c%11ccc(NC(=O)c%12cccc(C(=O)Nc%13ccc(-c%14ccc(Oc%15ccc(Oc%16cc(-c%17ccc(NC(=O)c%18cccc(C(=O)O)c%18)cc%17)cc(C(F)(F)F)c%16O)cc%15)c(C(F)(F)F)c%14)cc%13)c%12)cc%11)cc%10C(F)(F)F)cc9)c(O)c(C(F)(F)F)c8)cc7)c6)cc5)cc4C(F)(F)F)cc3)c(O)c(C(F)(F)F)c2)cc1,Nc1ccc(-c2cc(Oc3ccc(Oc4ccc(-c5ccc(NC(=O)c6cccc(C(=O)Nc7ccc(-c8ccc(Oc9ccc(Oc%10cc(-c%11ccc(NC(=O)c%12cccc(C(=O)Nc%13ccc(-c%14cc(Oc%15ccc(Oc%16ccc(-c%17ccc(NC(=O)c%18cccc(C(=O)Nc%19ccc(-c%20cc(Oc%21ccc(Oc%22ccc(-c%23ccc(NC(=O)c%24cccc(C(=O)Nc%25ccc(-c%26cc(Oc%27ccc(Oc%28ccc(-c%29ccc(NC(=O)c%30cccc(C(=O)Nc%31ccc(-c%32ccc(Oc%33ccc(Oc%34cc(-c%35ccc(NC(=O)c%36cccc(C(=O)Nc%37ccc(-c%38ccc(Oc%39ccc(Oc%40cc(-c%41ccc(NC(=O)c%42cccc(C(=O)Nc%43ccc(-c%44cc(Oc%45ccc(Oc%46ccc(-c%47ccc(NC(=O)c%48cccc(C(=O)Nc%49ccc(-c%50ccc(Oc%51ccc(Oc%52cc(-c%53ccc(NC(=O)c%54cccc(C(=O)O)c%54)cc%53)cc(C(F)(F)F)c%52O)cc%51)c(C(F)(F)F)c%50)cc%49)c%48)cc%47)cc%46C(F)(F)F)cc%45)c(O)c(C(F)(F)F)c%44)cc%43)c%42)cc%41)cc(C(F)(F)F)c%40O)cc%39)c(C(F)(F)F)c%38)cc%37)c%36)cc%35)cc(C(F)(F)F)c%34O)cc%33)c(C(F)(F)F)c%32)cc%31)c%30)cc%29)cc%28C(F)(F)F)cc%27)c(O)c(C(F)(F)F)c%26)cc%25)c%24)cc%23)cc%22C(F)(F)F)cc%21)c(O)c(C(F)(F)F)c%20)cc%19)c%18)cc%17)cc%16C(F)(F)F)cc%15)c(O)c(C(F)(F)F)c%14)cc%13)c%12)cc%11)cc(C(F)(F)F)c%10O)cc9)c(C(F)(F)F)c8)cc7)c6)cc5)cc4C(F)(F)F)cc3)c(O)c(C(F)(F)F)c2)cc1,2,amide,243,,,,,,1.316180099,,,1.36,-0.3979400087,1.114277297,-0.2757241304,0.5145477527,,
O=C(Cl)Cl.Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O,Cc1cc(C(C)(C)c2cc(C)c(OC(=O)Cl)c(C)c2)cc(C)c1O,Cc1cc(C(C)(C)c2cc(C)c(OC(=O)Cl)c(C)c2)cc(C)c1OC(=O)Cl,Cc1cc(C(C)(C)c2cc(C)c(OC(=O)Oc3c(C)cc(C(C)(C)c4cc(C)c(OC(=O)Oc5c(C)cc(C(C)(C)c6cc(C)c(OC(=O)Cl)c(C)c6)cc5C)c(C)c4)cc3C)c(C)c2)cc(C)c1O,Cc1cc(C(C)(C)c2cc(C)c(OC(=O)Oc3c(C)cc(C(C)(C)c4cc(C)c(OC(=O)Oc5c(C)cc(C(C)(C)c6cc(C)c(OC(=O)Oc7c(C)cc(C(C)(C)c8cc(C)c(OC(=O)Oc9c(C)cc(C(C)(C)c%10cc(C)c(OC(=O)Oc%11c(C)cc(C(C)(C)c%12cc(C)c(OC(=O)Oc%13c(C)cc(C(C)(C)c%14cc(C)c(OC(=O)Oc%15c(C)cc(C(C)(C)c%16cc(C)c(OC(=O)Oc%17c(C)cc(C(C)(C)c%18cc(C)c(OC(=O)Cl)c(C)c%18)cc%17C)c(C)c%16)cc%15C)c(C)c%14)cc%13C)c(C)c%12)cc%11C)c(C)c%10)cc9C)c(C)c8)cc7C)c(C)c6)cc5C)c(C)c4)cc3C)c(C)c2)cc(C)c1O,2,carbonate,193,,,,,,,,,1.083,-0.09691001301,1.245018871,0.03742649794,0.7474118079,,
Nc1ccc(C2(c3ccc(N)cc3)c3ccccc3-c3ccccc32)cc1.O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,Nc1ccc(C2(c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)OC7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)c3ccccc3-c3ccccc32)cc1,Nc1ccc(C2(c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(c6ccc(C8(c9ccc(N)cc9)c9ccccc9-c9ccccc98)cc6)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)c3ccccc3-c3ccccc32)cc1,Nc1ccc(C2(c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(c6ccc(C8(c9ccc(N%10C(=O)c%11ccc(C(c%12ccc%13c(c%12)C(=O)N(c%12ccc(C%14(c%15ccc(N%16C(=O)c%17ccc(C(c%18ccc%19c(c%18)C(=O)OC%19=O)(C(F)(F)F)C(F)(F)F)cc%17C%16=O)cc%15)c%15ccccc%15-c%15ccccc%15%14)cc%12)C%13=O)(C(F)(F)F)C(F)(F)F)cc%11C%10=O)cc9)c9ccccc9-c9ccccc98)cc6)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)c3ccccc3-c3ccccc32)cc1,Nc1ccc(C2(c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(c6ccc(C8(c9ccc(N%10C(=O)c%11ccc(C(c%12ccc%13c(c%12)C(=O)N(c%12ccc(C%14(c%15ccc(N%16C(=O)c%17ccc(C(c%18ccc%19c(c%18)C(=O)N(c%18ccc(C%20(c%21ccc(N%22C(=O)c%23ccc(C(c%24ccc%25c(c%24)C(=O)N(c%24ccc(C%26(c%27ccc(N%28C(=O)c%29ccc(C(c%30ccc%31c(c%30)C(=O)N(c%30ccc(C%32(c%33ccc(N%34C(=O)c%35ccc(C(c%36ccc%37c(c%36)C(=O)N(c%36ccc(C%38(c%39ccc(N%40C(=O)c%41ccc(C(c%42ccc%43c(c%42)C(=O)N(c%42ccc(C%44(c%45ccc(N%46C(=O)c%47ccc(C(c%48ccc%49c(c%48)C(=O)N(c%48ccc(C%50(c%51ccc(N%52C(=O)c%53ccc(C(c%54ccc%55c(c%54)C(=O)OC%55=O)(C(F)(F)F)C(F)(F)F)cc%53C%52=O)cc%51)c%51ccccc%51-c%51ccccc%51%50)cc%48)C%49=O)(C(F)(F)F)C(F)(F)F)cc%47C%46=O)cc%45)c%45ccccc%45-c%45ccccc%45%44)cc%42)C%43=O)(C(F)(F)F)C(F)(F)F)cc%41C%40=O)cc%39)c%39ccccc%39-c%39ccccc%39%38)cc%36)C%37=O)(C(F)(F)F)C(F)(F)F)cc%35C%34=O)cc%33)c%33ccccc%33-c%33ccccc%33%32)cc%30)C%31=O)(C(F)(F)F)C(F)(F)F)cc%29C%28=O)cc%27)c%27ccccc%27-c%27ccccc%27%26)cc%24)C%25=O)(C(F)(F)F)C(F)(F)F)cc%23C%22=O)cc%21)c%21ccccc%21-c%21ccccc%21%20)cc%18)C%19=O)(C(F)(F)F)C(F)(F)F)cc%17C%16=O)cc%15)c%15ccccc%15-c%15ccccc%15%14)cc%12)C%13=O)(C(F)(F)F)C(F)(F)F)cc%11C%10=O)cc9)c9ccccc9-c9ccccc98)cc6)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)c3ccccc3-c3ccccc32)cc1,2,imide,408,,,,,,,,,1.318,,1.991226076,0.5185139399,,,
C=COC=O,CC(OC=O)C(C)OC=O,CC(CC(CCOC=O)OC=O)OC=O,O=COCCCC(CC(CC(OC=O)C(CCCOC=O)OC=O)OC=O)OC=O,CC(OC=O)C(CC(CCC(OC=O)C(CC(CCC(CC(OC=O)C(CC(CCC(CC(CC(OC=O)C(CCC(OC=O)C(CCC(CCOC=O)OC=O)OC=O)OC=O)OC=O)OC=O)OC=O)OC=O)OC=O)OC=O)OC=O)OC=O)OC=O,1,vinyl,36.35,,,,,,,,,1.35,,,,,,
O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21.CC(C)(C)c1cc(C(C)(C)C)c(Oc2ccc(N(c3ccc(N)cc3)c3ccc(N)cc3)cc2)c(C(C)(C)C)c1,CC(C)(C)c1cc(C(C)(C)C)c(Oc2ccc(N(c3ccc(N)cc3)c3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)OC7=O)cc5C4=O)cc3)cc2)c(C(C)(C)C)c1,CC(C)(C)c1cc(C(C)(C)C)c(Oc2ccc(N(c3ccc(N)cc3)c3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(c6ccc(N(c8ccc(N)cc8)c8ccc(Oc9c(C(C)(C)C)cc(C(C)(C)C)cc9C(C)(C)C)cc8)cc6)C7=O)cc5C4=O)cc3)cc2)c(C(C)(C)C)c1,CC(C)(C)c1cc(C(C)(C)C)c(Oc2ccc(N(c3ccc(N)cc3)c3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(c6ccc(N(c8ccc(Oc9c(C(C)(C)C)cc(C(C)(C)C)cc9C(C)(C)C)cc8)c8ccc(N9C(=O)c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(c%11ccc(N(c%13ccc(Oc%14c(C(C)(C)C)cc(C(C)(C)C)cc%14C(C)(C)C)cc%13)c%13ccc(N%14C(=O)c%15ccc(Oc%16ccc%17c(c%16)C(=O)OC%17=O)cc%15C%14=O)cc%13)cc%11)C%12=O)cc%10C9=O)cc8)cc6)C7=O)cc5C4=O)cc3)cc2)c(C(C)(C)C)c1,CC(C)(C)c1cc(C(C)(C)C)c(Oc2ccc(N(c3ccc(N)cc3)c3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(c6ccc(N(c8ccc(Oc9c(C(C)(C)C)cc(C(C)(C)C)cc9C(C)(C)C)cc8)c8ccc(N9C(=O)c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(c%11ccc(N(c%13ccc(Oc%14c(C(C)(C)C)cc(C(C)(C)C)cc%14C(C)(C)C)cc%13)c%13ccc(N%14C(=O)c%15ccc(Oc%16ccc%17c(c%16)C(=O)N(c%16ccc(N(c%18ccc(Oc%19c(C(C)(C)C)cc(C(C)(C)C)cc%19C(C)(C)C)cc%18)c%18ccc(N%19C(=O)c%20ccc(Oc%21ccc%22c(c%21)C(=O)N(c%21ccc(N(c%23ccc(Oc%24c(C(C)(C)C)cc(C(C)(C)C)cc%24C(C)(C)C)cc%23)c%23ccc(N%24C(=O)c%25ccc(Oc%26ccc%27c(c%26)C(=O)N(c%26ccc(N(c%28ccc(Oc%29c(C(C)(C)C)cc(C(C)(C)C)cc%29C(C)(C)C)cc%28)c%28ccc(N%29C(=O)c%30ccc(Oc%31ccc%32c(c%31)C(=O)N(c%31ccc(N(c%33ccc(Oc%34c(C(C)(C)C)cc(C(C)(C)C)cc%34C(C)(C)C)cc%33)c%33ccc(N%34C(=O)c%35ccc(Oc%36ccc%37c(c%36)C(=O)N(c%36ccc(N(c%38ccc(Oc%39c(C(C)(C)C)cc(C(C)(C)C)cc%39C(C)(C)C)cc%38)c%38ccc(N%39C(=O)c%40ccc(Oc%41ccc%42c(c%41)C(=O)N(c%41ccc(N(c%43ccc(Oc%44c(C(C)(C)C)cc(C(C)(C)C)cc%44C(C)(C)C)cc%43)c%43ccc(N%44C(=O)c%45ccc(Oc%46ccc%47c(c%46)C(=O)OC%47=O)cc%45C%44=O)cc%43)cc%41)C%42=O)cc%40C%39=O)cc%38)cc%36)C%37=O)cc%35C%34=O)cc%33)cc%31)C%32=O)cc%30C%29=O)cc%28)cc%26)C%27=O)cc%25C%24=O)cc%23)cc%21)C%22=O)cc%20C%19=O)cc%18)cc%16)C%17=O)cc%15C%14=O)cc%13)cc%11)C%12=O)cc%10C9=O)cc8)cc6)C7=O)cc5C4=O)cc3)cc2)c(C(C)(C)C)c1,2,imide,260,,,,,,0.6989700043,2020,67,1.14,0.1335389084,1.812244697,0.4471580313,1.311753861,,
