mechanism,polymer_name,directory,n_atoms_in_topology,Density
polycarbonate_phosgene,"poly(4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol-co-carbonyl dichloride)","polymer_update/polycarbonate_phosgene/poly(4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol-co-carbonyl dichloride)/trimer/1x1x1",101,1.479
polycarbonate_phosgene,"poly(4-[2-(4-hydroxy-3,5-dimethylphenyl)propan-2-yl]-2,6-dimethylphenol-co-carbonyl dichloride)","polymer_update/polycarbonate_phosgene/poly(4-[2-(4-hydroxy-3,5-dimethylphenyl)propan-2-yl]-2,6-dimethylphenol-co-carbonyl dichloride)/trimer/1x1x1",137,1.083
polycarbonate_phosgene,"poly(2,6-dibromo-4-[2-(3,5-dibromo-4-hydroxyphenyl)propan-2-yl]phenol-co-carbonyl dichloride)","polymer_update/polycarbonate_phosgene/poly(2,6-dibromo-4-[2-(3,5-dibromo-4-hydroxyphenyl)propan-2-yl]phenol-co-carbonyl dichloride)/trimer/1x1x1",101,1.953
polyester,poly([4-(hydroxymethyl)cyclohexyl]methanol-co-terephthalic acid),polymer_update/polyester/poly([4-(hydroxymethyl)cyclohexyl]methanol-co-terephthalic acid)/trimer/1x1x1,117,1.196
polycarbonate_phosgene,poly(4-[1-(4-hydroxy-3-methylphenyl)cyclohexyl]-2-methylphenol-co-carbonyl dichloride),polymer_update/polycarbonate_phosgene/poly(4-[1-(4-hydroxy-3-methylphenyl)cyclohexyl]-2-methylphenol-co-carbonyl dichloride)/trimer/1x1x1,140,1.184
polyamide,"poly(hexane-1,6-diamine-co-dodecanedioic acid)","polymer_update/polyamide/poly(hexane-1,6-diamine-co-dodecanedioic acid)/trimer/1x1x1",171,1.06
polyester,"poly(decane-1,10-diol-co-octadecanedioic acid)","polymer_update/polyester/poly(decane-1,10-diol-co-octadecanedioic acid)/trimer/1x1x1",255,1.05
polyamide,"poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-benzene-1,3-dicarboxylic acid)","polymer_update/polyamide/poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-benzene-1,3-dicarboxylic acid)/trimer/1x1x1",309,1.32
polyester,"poly(propane-1,3-diol-co-terephthalic acid)","polymer_update/polyester/poly(propane-1,3-diol-co-terephthalic acid)/trimer/1x1x1",78,1.34
polycarbonate_phosgene,poly(4-[(4-hydroxyphenyl)methyl]phenol-co-carbonyl dichloride),polymer_update/polycarbonate_phosgene/poly(4-[(4-hydroxyphenyl)methyl]phenol-co-carbonyl dichloride)/trimer/1x1x1,83,1.24
polyamide,"poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-naphthalene-2,6-dicarboxylic acid)","polymer_update/polyamide/poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-naphthalene-2,6-dicarboxylic acid)/trimer/1x1x1",327,1.45
polyamide,"poly(hexane-1,6-diamine-co-hexanedioic acid)","polymer_update/polyamide/poly(hexane-1,6-diamine-co-hexanedioic acid)/trimer/1x1x1",117,1.11
